한자,뜻,음
扶,돕다,부
浮,뜨다,부
簿,문서,부
賦,부세,부
付,부치다,부
符,부호,부
附,붙다,부
腐,썩다,부
否,아니다,부
負,지다,부
府,마을,부
婦,며느리,부
副,버금,부
富,부자,부
部,떼,부
夫,지아비,부
父,아비,부
北,북녘,북
北,달아나다,배
扮,꾸미다,분
雰,눈이 날리다,분
盆,동이,분
糞,똥,분
吩,분부하다,분
焚,불사르다,분
噴,뿜다,분
忿,성내다,분
芬,향기,분
墳,무덤,분
奔,달리다,분
奮,떨치다,분
紛,어지럽다,분
粉,가루,분
憤,분하다,분
分,나누다,분
彿,비슷하다,불
弗,아니다,불
弗,말다,불
拂,떨치다,불
佛,부처,불
不,아니다,불
繃,묶다,붕
硼,붕사,붕
棚,사다리,붕
鵬,새,붕
崩,무너지다,붕
朋,벗,붕
憊,고단하다,붕
沸,끓다,비
沸,용솟음하다,불
鄙,더럽다,비
庇,덮다,비
裨,돕다,비
翡,물총새,비
蜚,바퀴,비
蜚,날다,비
緋,비단,비
砒,비상,비
匕,비수,비
譬,비유하다,비
琵,비파,비
扉,사립문,비
痺,저리다,비
妣,죽은 어미,비
脾,지라,비
秕,쭉정이,비
臂,팔,비
誹,헐뜯다,비
毘,돕다,비
泌,분비하다,비
泌,스며흐르다,필
匪,비적,비
毖,삼가다,비
丕,크다,비
婢,계집종,비
卑,낮다,비
肥,살찌다,비
妃,왕비,비
碑,비석,비
批,비평하다,비
祕,숨기다,비
備,갖추다,비
飛,날다,비
悲,슬프다,비
非,아니다,비
比,견주다,비
費,쓰다,비
鼻,코,비
嬪,궁녀 벼슬 이름,빈
濱,물가,빈
瀕,물가,빈
瀕,가깝다,빈
殯,빈소,빈
嚬,찡그리다,빈
彬,빛나다,빈
賓,손님,빈
頻,자주,빈
貧,가난하다,빈
憑,비기다,빙
聘,부르다,빙
氷,얼음,빙
馮,타다,빙
馮,성씨,풍
蓑,도롱이,사
紗,비단,사
祠,사당,사
獅,사자,사
奢,사치하다,사
麝,사향노루,사
瀉,쏟다,사
徙,옮기다,사
嗣,잇다,사
些,적다,사
娑,춤추다,사
娑,사바세상,사
飼,기르다,사
泗,물이름,사
唆,부추기다,사
赦,용서하다,사
似,닮다,사
巳,뱀,사
捨,버리다,사
詐,속이다,사
斯,이,사
賜,주다,사
邪,간사하다,사
蛇,긴 뱀,사
詞,말,사
詞,글,사
司,맡다,사
沙,모래,사
斜,비끼다,사
祀,제사,사
辭,말씀,사
私,사사롭다,사
絲,실,사
射,쏘다,사
謝,사례하다,사
師,스승,사
寺,절,사
舍,집,사
寫,베끼다,사
史,역사,사
思,생각하다,사
士,선비,사
仕,섬기다,사
査,조사하다,사
社,모이,사
死,죽다,사
使,하여금,사
使,부리다,사
事,일,사
四,넉,사
朔,초하루,삭
削,깎다,삭
刪,깎다,산
疝,산증,산
珊,산호,산
酸,시다,산
傘,우산,산
散,흩어지다,산
産,낳다,산
算,셈하다,산
山,메,산
薩,보살,살
撒,뿌리다,살
煞,죽이다,살
殺,죽이다,살
殺,감하다,쇄
殺,빠르다,쇄
蔘,인삼,삼
森,수풀,삼
三,석,삼
滲,스미다,삼
澁,떫다,삽
揷,꽂다,삽
翔,날다,상
爽,시원하다,상
觴,잔,상
孀,홀어미,상
箱,상자,상
庠,학교,상
嘗,맛보다,상
祥,상서롭다,상
償,갚다,상
像,모양,상
桑,뽕나무,상
霜,서리,상
尙,오히려,상
喪,잃다,상
詳,자세하다,상
裳,치마,상
傷,다치다,상
象,코끼리,상
常,떳떳하다,상
床,상,상
想,생각,상
狀,형상,상
狀,문서,장
賞,상주다,상
相,서로,상
商,장사,상
上,위,상
璽,옥새,새
嗇,아끼다,색
塞,막히다,색
塞,변방,새
索,찾다,색
索,새끼줄,삭
色,빛,색
甥,생질,생
牲,희생,생
生,살다,생
薯,감자,서
黍,기장,서
棲,깃들다,서
犀,무소,서
壻,사위,서
曙,새벽,서
胥,서로,서
嶼,섬,서
鼠,쥐,서
抒,풀다,서
瑞,상서롭다,서
舒,펴다,서
逝,가다,서
暑,덥다,서
誓,맹세하다,서
庶,여러,서
敍,펴다,서
署,마을,서
緖,실마리,서
恕,용서하다,서
徐,천천히 가다,서
序,차례,서
書,글,서
西,서녘,서
潟,개펄,석
晳,밟다,석
錫,주석,석
碩,크다,석
奭,크다,석
奭,쌍백,석
昔,예,석
析,쪼개다,석
惜,아끼다,석
釋,풀다,석
石,돌,석
席,자리,석
夕,저녁,석
銑,무쇠,선
羨,부러워하다,선
羨,무덤길,연
扇,부채,선
煽,부채질하다,선
腺,샘,선
膳,선물,선
膳,반찬,선
瑄,구슬,선
繕,깁다,선
璇,도리옥,선
璿,옥,선
旋,돌다,선
禪,참선,선
宣,베풀다,선
選,가리다,선
鮮,곱다,선
船,배,선
仙,신선,선
善,착하다,선
線,줄,선
先,먼저,선
屑,가루,설
洩,새다,설
洩,퍼지다,예
泄,새다,설
渫,파내다,설
卨,사람이름,설
薛,성씨,설
舌,혀,설
設,베풀다,설
說,말씀,설
說,달래다,세
雪,눈,설
殲,다 죽이다,섬
閃,번쩍이다,섬
纖,가늘다,섬
蟾,두꺼비,섬
陝,땅이름,섬
暹,햇살 치미다,섬
暹,나라이름,섬
燮,불꽃,섭
涉,건너다,섭
攝,다스리다,섭
攝,잡다,섭
醒,깨다,성
晟,밝다,성
星,별,성
聖,성인,성
盛,성하다,성
聲,소리,성
城,성,성
誠,정성,성
性,성품,성
省,살피다,성
省,덜다,생
成,이루다,성
姓,성,성
貰,세놓다,세
細,가늘다,세
稅,세금,세
勢,형세,세
洗,씻다,세
歲,해,세
世,세상,세
遡,거스르다,소
搔,긁다,소
甦,깨어나다다,소
逍,노닐다,소
宵,밤,소
疎,성기다,소
蕭,쓸쓸하다,소
梳,얼레빗,소
簫,퉁소,소
瘙,피부병,소
塑,흙 빚다,소
邵,성씨씨,소
邵,성씨,소
沼,못,소
巢,새집,소
紹,잇다,소
蔬,나물,소
騷,떠들다,소
昭,밝다,소
召,부르다,소
蘇,되살아나다,소
燒,불사르다,소
疏,소통하다,소
訴,호소하다,소
素,본디,소
素,희다,소
掃,쓸다,소
笑,웃음,소
消,사라지다,소
所,바,소
少,적다,소
小,작다,소
贖,속죄하다,속
粟,조,속
屬,붙이다,속
續,잇다,속
俗,풍속,속
束,묶다,속
速,빠르다,속
遜,겸손하다,손
損,덜다,손
孫,손자,손
悚,두렵다,송
宋,송나라,송
誦,외다,송
訟,소송하다,송
頌,기리다,송
頌,칭송하다,송
松,소나무,송
送,소내다,송
碎,부수다,쇄
灑,뿌리다,쇄
鎖,쇄사슬,쇄
刷,인쇄하다,쇄
衰,쇠하다,쇄
酬,갚다,수
蒐,모으다,수
羞,부끄럽다,수
髓,골수,수
狩,사냥하다,수
竪,세우다,수
袖,소매,수
繡,수놓다,수
戍,수자리,수
粹,순수하다,수
瘦,여위다,수
讎,원수,수
穗,이삭,수
嫂,형수,수
洙,물가,수
隋,수나라,수
銖,저울눈,수
囚,가두다,수
誰,누구,수
遂,드디어,수
須,모름지기,수
雖,비록,수
睡,졸음,수
搜,찾다,수
愁,근심,수
殊,다르다,수
垂,드리우다,수
隨,따르다,수
壽,목숨,수
輸,보내다,수
需,쓰이다,수
需,쓰다,수
帥,장수,수
獸,짐승,수
秀,빼어나다,수
收,거두다,수
修,닦다,수
受,받다,수
授,주다,수
守,지키다,수
首,머리,수
樹,나무,수
數,셈하다,수
手,손,수
水,물,수
塾,글방,숙
夙,이르다,숙
菽,콩,숙
孰,누구,숙
淑,맑다,숙
熟,익다,숙
叔,아재비,숙
肅,엄숙하다,숙
宿,자다,숙
宿,별자리,수
馴,길들이다,순
醇,전국술,순
筍,죽순,순
盾,방패,순
淳,순박하다,순
舜,순임금,순
珣,옥이름,순
洵,참으로,순
荀,풀이름,순
循,돌다,순
殉,따라 죽다,순
脣,입술,순
瞬,눈깜짝이다,순
巡,돌다,순
巡,순행하다,순
旬,열흘,순
純,순수하다,순
順,순하다,순
戌,개,술
述,펴다,술
術,재주,술
崇,높다,숭
膝,무릎,슬
瑟,큰 거문고,슬
襲,엄습하다,습
濕,젖다,습
拾,줍다,습
拾,열,십
習,익히다,습
丞,정승,승
繩,노끈,승
升,되,승
昇,오르다,승
僧,중,승
乘,타다,승
承,잇다,승
勝,이기다,승
柿,감나무,시
匙,숟가락,시
豺,승냥이,시
猜,시기하다,시
媤,시집,시
諡,시호,시
弑,윗사람을 죽이다,시
柴,섶,시
屍,주검,시
矢,화살,시
侍,모시다,시
施,베풀다,시
視,보다,시
詩,시,시
試,시험,시
是,이,시
是,옳다,시
示,보이다,시
始,비로소,시
時,때,시
市,저자,시
熄,불꺼지다,식
拭,씻다,식
蝕,좀먹다,식
湜,묽이 맑다,식
殖,불리다,식
軾,수레 가로나무,식
飾,꾸미다,식
息,쉬다,식
識,알다,식
識,기록하다,지
式,법,식
食,밥,식
食,먹다,식
植,심다,식
宸,대궐,신
訊,묻다,신
燼,불탄 끝,신
迅,빠르다,신
薪,섶,신
娠,아이를 배다,신
呻,읊조리다,신
蜃,큰 조개,신
紳,띠,신
腎,콩팥,신
辛,맵다,신
晨,새벽,신
伸,펴다,신
愼,삼가다,신
申,납,신
臣,신하,신
神,귀신,신
身,몸,신
信,믿다,신
新,새롭다,신
悉,다,실
實,열매,실
失,잃다,실
室,집,실
瀋,즙을 내다,심
瀋,물이름,심
尋,찾다,심
審,살피다,심
甚,심하다,심
深,깊다,심
心,마음,심
什,열 사람,십
什,세간,집
十,열,십
雙,두,쌍
雙,쌍,쌍
氏,각시,씨
氏,성씨,씨
衙,마을,아
啞,벙어리,아
俄,아까,아
訝,의심하다,아
餓,주리다,아
我,나,아
雅,맑다,아
亞,버금가다,아
芽,싹,아
牙,어금니,아
阿,언덕,아
兒,아이,아
愕,놀라다,악
顎,턱,악
堊,흰 흙,악
握,쥐다,악
岳,큰 산,악
惡,악하다,악
惡,미워하다,오
按,누르다,안
晏,늦다,안
鞍,안장,안
雁,기러기,안
顔,낯,안
岸,언덕,안
眼,눈,안
案,책상,안
安,편안,안
斡,돌다,알
軋,삐걱거리다,알
閼,막다,알
謁,뵈다,알
闇,숨다,암
庵,암자,암
癌,암,암
巖,바위,암
暗,어둡다,암
鴨,오리,압
押,누르다,압
壓,누르다,압
昂,높다,앙
秧,모,앙
怏,원망하다,앙
鴦,원앙,앙
殃,재앙,앙
央,가운데,앙
仰,우러르다,앙
靄,아지랑이,애
崖,언덕,애
隘,좁다,애
曖,희미하다,애
礙,거리끼다,애
艾,쑥,애
埃,티끌,애
涯,물가,애
哀,슬프다,애
愛,사랑,애
腋,겨드랑이,액
縊,목매다,액
扼,잡다,액
厄,액운,액
額,이마,액
液,진,액
鶯,꾀꼬리,앵
櫻,앵두나무,앵
爺,아비,야
揶,야유하다,야
冶,풀무,야
倻,가야,야
惹,이끌다,야
耶,어조사,야
也,이끼,야
也,어조사,야
野,들,야
夜,밤,야
葯,꽃밥,약
躍,뛰다,약
若,같다,약
若,반야,야
約,맺다,약
藥,약,약
弱,약하다,약
瘍,가렵다,양
攘,물리치다,양
恙,병,양
恙,근심하다,양
釀,술을 빚다,양
癢,헐다,양
襄,돕다,양
孃,아가씨,양
楊,버드나무,양
揚,날리다,양
讓,사양하다,양
壤,흙덩이,양
樣,모양,양
羊,양,양
養,기르다,양
陽,볕,양
洋,큰 바다,양
禦,막다,어
瘀,어혈질,어
圄,옥,어
於,어조사,어
於,탄식하다,오
御,거느리다,어
漁,고기잡다,어
魚,고기,어
魚,물고기,어
語,말씀,어
臆,가슴,억
抑,누르다,억
憶,생각하다,억
億,억,억
堰,둑,언
諺,언문,언
諺,속담,언
彦,선비,언
焉,어찌,언
言,말씀,언
掩,가리다,엄
奄,문득,엄
儼,엄연하다,엄
嚴,어마다,엄
業,일,엄
余,나,여
予,나,여
汝,너,여
輿,수레,여
與,더불다,여
與,주다,여
如,같다,여
餘,남다,여
繹,풀다,역
亦,또,역
譯,번역하다,역
役,부리다,역
驛,역,역
疫,전염병,역
易,바꾸다,역
易,쉽다,이
域,경계,역
逆,거스르다,역
筵,대자리,연
捐,버리다,연
椽,서까래,연
鳶,솔개,연
姸,곱다,연
衍,넓다,연
淵,못,연
硯,벼루,연
沿,물을 따라가다,연
沿,따르다,연
軟,연하다다,연
宴,잔치,연
燕,제비,연
鉛,납,연
延,늘이다,연
緣,인연,연
燃,타다,연
硏,갈다,연
煙,연기,연
演,펴다,연
然,그렇다,연
閱,보다,열
悅,기쁘다,열
熱,덥다,열
艶,곱다,염
焰,불꽃,염
閻,마을,염
厭,싫어하다,염
染,물들다,염
炎,불꽃,염
鹽,소금,염
燁,빛나다,엽
葉,잎,엽
嬰,어린아이,영
暎,비치다,영
瑛,옥빛,영
盈,차다,영
詠,읊다,영
泳,헤엄치다,영
影,그림자,영
營,경영하다,영
迎,맞다,영
映,비치다,영
榮,영화,영
永,길다,영
英,꽃부리,영
曳,끌다,예
穢,더럽다,예
詣,이르다,예
裔,후손,예
預,맡기다,예
預,미리,예
芮,성씨,예
睿,슬기,예
濊,종족이름,예
銳,날카롭다,예
譽,기리다,예
譽,명예,예
豫,미리,예
藝,재주,예
奧,깊다,오
伍,다섯 사람,오
寤,잠을 깨다,오
懊,괴로워하다,오
墺,물가,오
吳,성씨,오
梧,오동나무,오
傲,거만하다,오
吾,나,오
汚,더럽다,오
嗚,슬프다,오
娛,즐기다,오
烏,까마귀,오
悟,깨닫다,오
誤,그르치다,오
午,낮,오
五,다섯,오
沃,기름지다,옥
鈺,보배,옥
獄,감옥,옥
玉,구슬,옥
屋,집,옥
蘊,쌓다,온
穩,편안하다,온
溫,따뜻하다,온
壅,막다,옹
甕,독,옹
邕,막히다,옹
雍,화하다,옹
擁,끼다,옹
翁,늙은이,옹
訛,그릇되다,와
蝸,달팽이,와
渦,소용돌이,와
臥,눕다,와
瓦,기와,와
阮,성씨,완
婉,순하다,완
婉,아름답다,완
頑,완고하다,완
宛,완연하다,완
玩,즐기다,완
腕,팔뚝,완
莞,빙그레하다,완
莞,왕골,왕
緩,느리다,완
完,완전하다,완
曰 ,말하다,왈
枉,굽다,왕
汪,넓다,왕
旺,왕성하다,왕
往,가다,왕
王,임금,왕
矮,난쟁이,왕
歪,기울다,왕
歪,기울다,외
倭,왜나라,왜
巍,높고 크다,외
猥,외람하다,외
畏,두려워하다,외
外,바깥,외
窈,고요하다,요
窯,기와가마,요
饒,넉넉하다,요
邀,맞다,요
擾,시끄럽다,요
凹,오목하다,요
僥,요행,요
拗,우기다,요
夭,일찍 죽다,요
耀,빛나다,요
姚,예쁘다,요
妖,요사하다,요
堯,요임금,요
遙,멀다,요
腰,허리,요
搖,흔들다,요
謠,노래,요
曜,빛나다,요
要,요긴하다,요
辱,욕되다,욕
慾,욕심,욕
欲,하고자 하다,욕
浴,목욕하다,욕
踊,뛰다,용
涌,물이 솟다,용
聳,솟다,용
蓉,연꽃,용
茸,풀이 나다,용
茸,버섯,이
溶,녹다,용
熔,녹다,용
鎔,쇠를 녹이다,용
鏞,쇠북,용
瑢,패옥소리,용
傭,품을 팔다,용
庸,떳떳하다,용
容,얼굴,용
勇,날래다,용
用,쓰다,용
隅,모퉁이,우
寓,부치다,우
嵎,산굽이,우
迂,에돌다,우
虞,염려하다,우
虞,나라이름,우
佑,돕다,우
祐,복,우
禹,성씨,우
尤,더욱,우
又,또,우
于,어조사,우
憂,근심,우
羽,깃,우
愚,어리석다,우
宇,집,우
偶,짝,우
優,넉넉하다,우
遇,만나다,우
郵,우편,우
友,벗,우
雨,비,우
牛,소,우
右,돕다,우
右,오른쪽,우
煜,빛나다,욱
頊,삼가다,욱
郁,성하다,욱
旭,아침해,욱
昱,햇빛이 밝다,욱
耘,김매다,운
隕,떨어지다,운
殞,죽다,운
芸,향풀,운
云,이르다,운
韻,울리다,운
雲,구름,운
運,옮기다,운
蔚,고을이름,울
鬱,답답하다,울
熊,곰,웅
雄 ,수컷,웅
猿,원숭이,원
鴛,원앙,원
冤,원통하다,원
媛,계집,원
瑗,구슬,원
苑,나라동산,원
袁,성씨,원
源,근원,원
援,돕다,원
怨,원망하다,원
圓,둥글다,원
員,인원,원
原,언덕,원
願,원하다,원
元,으뜸,원
院,집,원
園,동산,원
遠,멀다,원
越,넘다,월
月,달,월
萎,시들다,위
韋,가죽,위
渭,물이름,위
尉,벼슬,위
魏,성씨,위
緯,씨앗,위
違,어긋나다,위
僞,거짓,위
胃,밥통,위
謂,이르다,위
委,맡기다,위
圍,에워싸다,위
慰,위로하다,위
威,위엄,위
危,위태하다,위
衛,지키다,위
爲,하다,위
位,자리,위
偉,크다,위
喩,깨우치다,유
宥,너그럽다,유
鍮,놋쇠,유
蹂,밟다,유
癒,병이 낫다,유
諛,아첨하다,유
揄,야유하다,유
柚,유자나무,유
愉,즐겁다,유
諭,타이르다,유
游,헤엄치다,유
庾,곳집,유
庾,노적가리,유
踰,넘다,유
楡,느릅나무,유
兪,대답하다,유
愈,낫다,유
酉,닭,유
惟,생각하다,유
唯,오직,유
幽,그윽하다,유
誘,꾀다,유
裕,넉넉하다,유
悠,멀다,유
維,벼리,유
柔,부드럽다,유
幼,어리다,유
猶,오히려,유
遺,남기다,유
遊,놀다,유
儒,선비,유
乳,젖,유
油,기름,유
由,말미암다,유
有,잇다,유
肉,고기,육
育,기르다,육
允,맏이,윤
尹,성씨,윤
胤,자손,윤
鈗,창,윤
閏,윤달,윤
潤,붇다,윤
絨,가는 베,융
戎,병장기,융
戎,오랑캐,융
融,녹다,융
殷,은나라,은
垠,경계,은
誾,향기,은
隱,숨다,은
恩,은혜,은
銀,은,은
乙,새,을
蔭,그늘,음
吟,읊다,음
淫,음란하다,음
陰,그늘,음
飮,마시다,음
音,소리,음
揖,읍하다,읍
泣,울다,읍
邑,고을,읍
膺,가슴,응
鷹,매,응
凝,엉기다,응
應,응하다,응
毅,굳세다,의
擬,비기다,의
椅,의자,의
誼,정,의
宜,마땅,의
矣,어조사,의
儀,거동,의
疑,의심하다,의
依,의지하다,의
義,옳다,의
議,의논하다,의
意,뜻,의
衣,옷,의
醫,의원,의
爾,너,이
弛,늦추다,이
餌,미끼,이
痍,상처,이
姨,이모,이
珥,귀고리,이
怡,기쁘다,이
貳,두,이
貳,갖은자 두,이
伊,저,이
而,어조사,이
夷,오랑캐,이
已,이미,이
異,다르다,이
移,옳기다,이
耳,귀,이
以,써,이
二,두,이
翌,다음날,익
翊,돕다,익
翼,날개,익
益,더하다,익
咽,목구멍,인
咽,목메다,열
咽,삼키다,연
湮,묻히다,인
蚓,지렁이,인
靭,질기다,인
刃,칼날,인
寅,범,인
寅,동방,인
姻,혼인,인
忍,참다,인
仁,어질다,인
引,끌다,인
印,도장,인
認,알다,인
因,인하다,인
人,사람,인
溢,넘치다,일
佚,편안하다,월
佚,질탕,질
鎰,무게이름,일
佾,줄 춤,일
壹,한한,일
壹,갖은자 한,일
逸,편안하다,일
日,날,일
一,한,일
妊,아이를 배다,임
壬,북방,임
賃,품삯,임
任,맡기다,임
入,들다,입
剩,남다,잉
孕,아이를 배다,잉
炙,굽다,자
炙,굽다,적
藉,깔다,자
藉,핑계하다,자
瓷,사기그릇,자
蔗,사탕수수,자
煮,삶다,자
仔,자세하다,자
疵,허물,자
諮,묻다,자
滋,붇다,자
雌,암컷,자
磁,자석,자
恣,마음대로,자
恣,방자하다,자
玆,이,자
慈,사람,자
紫,자줏빛,자
刺,찌르다,자
刺,찌르다,척
姿,모양,자
姉,손윗누이,자
資,재물,자
者,사람,자
字,글자,자
自,스스로,자
子,아들,자
勺,구기,작
鵲,까치,작
綽,너그럽다,작
灼,불사르다,작
嚼,씹다,작
雀,참새,작
炸,터지다,작
芍,함박꽃,작
爵,벼슬,작
酌,술을 붓다,작
酌,잔질하다,작
昨,어제,작
作,짓다,작
棧,사다리,잔
盞,잔,잔
殘,남다,잔
箴,경계,잠
簪,비녀,잠
蠶,누에,잠
潛,잠기다,잠
暫,잠깐,잠
雜,섞이다,잡
檣,돛대,장
仗,의장,장
醬,장,장
獎,장려하다,장
薔,장미,장
匠,장인,장
漿,즙,장
杖,지팡이,장
獐,노루,장
蔣,성씨,장
庄,농막,장
璋,홀,장
墻,담,장
藏,감추다,장
粧,단장하다,장
掌,손바닥,장
莊,씩씩하다,장
丈,어른,장
臟,오장,장
葬,장사지내다,장
裝,꾸미다,장
張,베풀다,장
帳,장막,장
壯,장하다,장
腸,창자,장
障,막다,장
將,장수,장
章,글,장
場,마당,장
長,길다,장
齋,재계하다,재
齋,집,재
滓,찌끼,재
哉,어조사,재
宰,재상,재
載,싣다,재
栽,심다,재
裁,옷을 마르다,재
再,다시,재
材,재목,재
財,재물,재
災,재앙,재
在,있다,재
才,재주,재
錚 ,쇳소리,쟁
爭,다투다,쟁
豬,돼지,저
躇,머뭇거리다,저
觝,씨름,저
咀,씹다,저
狙,원숭이,저
狙,엿보다,저
詛,저주하다,저
箸,젓가락,저
邸,집,저
沮,막다,저
著,나타나다,저
抵,막다,저
底,밑,저
低,낮다,저
貯,쌓다,저
謫,귀양가다,적
狄,오랑캐,적
迹,자취,적
嫡,정실,적
滴,물방울,적
寂,고요하다,적
摘,따다,적
跡,발자취,적
蹟,자취,적
笛,피리,적
績,길쌈,적
賊,도둑,적
適,맞다,적
籍,문서,적
積,쌓다,적
敵,대적하다,적
的,과녁,적
赤,붉다,적
廛,가게,전
剪,가위,전
悛,고치다,전
箋,기록하다,전
煎,달이다,전
氈,담,전
輾,돌아눕다,전
顫,떨다,전
栓,마개,전
塡,메우다,전
癲,미치다,전
餞,보내다,전
銓,사람가리다,전
箭,화살,전
澱,앙금,전
纏,읽다,전
顚,엎드러지다,전
顚,이마,전
篆,전자,전
奠,정하다,전
奠,제사,전
甸,경기,전
殿,전각,전
轉,구르다,전
錢,돈,전
專,오로지,전
田,밭,전
典,법,전
傳,전하다,전
展,펴다,전
戰,싸움,전
電,번개,전
前,앞,전
全,온전하다,전
截,끊다,절
竊,훔치다,절
折,꺾다,절
絶,끊다,절
切,끊다,절
切,온통,체
節,마디,절
粘,붙다,점
霑,젖다,점
漸,점점,점
點,점,점
占,점령하다,점
占,점치다,점
店,가게,점
蝶,나비,접
接,잇다,접
幀,그림족자,정
睛,눈동자,정
碇,닻,정
錠,덩이,정
釘,못,정
町,밭두둑,정
挺,빼어나다,정
酊,술취하다,정
靖,편안하다,정
穽,함정,정
楨,광나무,정
旌,기,정
鄭,나라이름,정
呈,드러내다,정
晶,맑다,정
汀,물가,정
艇,배,정
禎,상서롭다,정
鼎,솥,정
偵,염탐하다,정
珽,옥이름,정
訂,바로잡다,정
貞,곧다,정
淨,깨끗하다,정
井,우물,정
頂,정수리,정
亭,정자,정
廷,조정,정
征,치다,정
整,가지런하다,정
丁,고무래,정
丁,장정,정
靜,고요하다,정
政,다스리다,정
精,정하다,정
程,한도,정
程,길,정
情,뜻,정
停,머무르다,정
庭,뜰,정
定,정하다,정
正,바르다,정
悌,공손하다,제
蹄,발굽,제
梯,사다리,제
啼,울다,제
劑,약제,제
堤,둑,제
齊,가지런하다,제
諸,모두,제
帝,임금,제
濟,건너다,제
提,끌다,제
除,덜다,제
制,절제하다,제
祭,제사,제
際,즈음,제
際,가,제
製,짓다,제
題,제목,제
第,차례,제
弟,아우,제
粗,거칠다,조
繰,고치 켜다,조
槽,구유,조
棗,대추나무,조
藻,마름,조
阻,막히다,조
遭,만나다,조
曹,무리,조
漕,배로 실어나르다,조
眺,보다,조
肇,비롯하다,조
嘲,비웃다,조
稠,빽빽하다,조
爪,손톱,조
凋,시들다,조
躁,조급하다,조
詔,알리다,조
糟,지게미,조
趙,나라이름,조
釣,낚다,조
釣,낚시,조
措,두다,조
祚,복,조
彫,새기다,조
曺,성씨,조
燥,마르다,조
弔,조상하다,조
照,비치다,조
兆,억조,조
租,세금,조
條,가지,조
潮,밀물,조
潮,조수,조
組,짜다,조
助,돕다,조
鳥,새,조
早,이르다,조
造,짓다,조
調,고르다,조
操,잡다,조
朝,아침,조
祖,할아버지,조
簇,가는 대나무,족
族,겨례,족
足,발,족
存,있다,존
尊,높다,존
猝,갑자기,졸
拙,못하다,졸
卒,마치다,졸
慫,권하다,종
踵,발꿈치,종
踪,자취,종
腫,종기,종
綜,모으다,종
琮,옥홀,종
縱,세로,종
鍾,쇠북,종
從,좇다,종
宗,마루,종
終,마치다,종
種,씨,종
挫,꺾다,좌
佐,돕다,좌
坐,앉다,좌
座,자리,좌
左,왼,좌
罪,허물,죄
註,글뜻을 풀다,주
躊,머뭇거리다,주
紬,명주,주
輳,몰려들다,주
誅,베다,주
廚,부엌,주
嗾,부추기다,주
呪,빌다,주
胄,자손,주
紂,주임금,주
做,짓다,주
駐,머무르다,주
疇,이랑,주
舟,배,주
珠,구슬,주
株,그루,주
柱,기둥,주
洲,물가,주
鑄,쇠를 불리다,주
奏,아뢰다,주
宙,집,주
周,두루,주
朱,붉다,주
酒,술,주
走,달리다,주
州,고을,주
週,돌다,주
晝,낮,주
注,붓다,주
住,살다,주
主,임금,주
主,주인,주
竹,대나무,죽
蠢,꾸물거리다,준
竣,마치다,준
樽,술통,준
浚,깊게 하다,준
濬,깊다,준
埈,높다,준
峻,높다,준
峻,준엄하다,준
晙,밝다,준
准,비준하다,준
駿,준마,준
遵,좇다,준
俊,준걸,준
準,준하다,준
仲,버금,중
衆,무리,중
重,무겁다,중
中,가운데,중
卽,곧,즉
櫛,빗,즐
葺,기울다,즙
汁,즙,즙
贈,주다,증
憎,밉다,증
曾,일찍,증
症,증세,증
蒸,찌다,증
證,증거,증
增,더하다,증
祉,복,지
咫,지척,지
摯,잡다,지
枳,탱자나무,지
枳,탱자나무,기
肢,팔다리,지
脂,기름,지
旨,뜻,지
芝,지초,지
址,터,지
只,다만,지
遲,더디다,지
遲,늦다,지
枝,가지,지
之,가다,지
池,못,지
持,가지다,지
誌,기록하다,지
智,슬기,지
智,지혜,지
指,가리키다,지
志,뜻,지
至,이르다,지
支,지탱하다,지
止,그치다,지
知,알다,지
地,땅,지
紙,종이,지
稙,올벼,직
稷,피,직
織,짜다,직
職,직분,직
直,곧다,직
疹,마마,진
嗔,성내다,진
津,나루,진
秦,성씨,진
晋,진나라,진
診,진찰하다,진
塵,티끌,진
振,떨치다,진
陳,베풀다,진
陳,묵다,진
辰,별,진
辰,때,신
震,우레,진
鎭,진압하다,진
盡,다하다,진
珍,보배,진
陣,진치다,진
進,나아가다,진
眞,참,진
迭,갈마들다,질
跌,거꾸러지다,질
叱,꾸짖다,질
嫉,미워하다,질
膣,음도,질
桎,차꼬,질
帙,책권차례,질
窒,막히다,질
姪,조카,질
疾,병,질
秩,차례,질
質,바탕,질
朕,나,짐
斟,짐작하다,짐
輯,모으다,집
執,잡다,집
集,모으다,집
澄,맑다,징
懲,징계하다,징
徵,부르다,징
叉,갈래,차
蹉,미끄러지다,차
嗟,탄식하다,차
遮,가리다,차
且,또,차
借,빌다,차
借,빌리다,차
此,이,차
差,다르다,차
次,버금,차
鑿,뚫다,착
窄,좁다,착
搾,짜다,착
捉,잡다,착
錯,어긋나다,착
着,붙다,착
纂,모으다,찬
饌,반찬,찬
篡,빼앗다,찬
撰,짓다,찬
鑽,뚫다,찬
餐,밥,찬
燦,빛나다,찬
璨,옥빛,찬
瓚,옥잔,찬
贊,돕다,찬
讚,기리다,찬
擦,문지르다,찰
刹,절,찰
札,편지,찰
察,살피다,찰
塹,구덩이,참
懺,뉘우치다,참
站,역마을,참
讖,예언,참
僭,주제넘다,참
讒,참소하다,참
斬,베다,참
慙,부끄럽다,참
慘,참혹하다,참
參,참여하다,참
參,석,삼
廠,공장,창
倡,광대,창
漲,넘치다,창
猖,미쳐날뛰다,창
艙,부두,창
