한자,뜻,음
愧,부끄럽다,괴
塊,흙덩이,괴
怪,괴이하다,괴
壞,무너지다,괴
轟,울리다,굉
轟,수레 소리,굉
宏,크다,굉
肱,팔뚝,굉
轎,가마,교
蛟,교룡,교
驕,교만하다,교
狡,교활하다,교
喬,높다,교
皎,달이 밝다,교
咬,물다,교
咬,새소리,교
嬌,아리땁다,교
攪,흔들다,교
僑,더부살이,교
絞,목매다,교
膠,아교,교
郊,들,교
矯,바로잡다,교
較,견주다,교
較,비교하다,교
巧,공교하다,교
橋,다리,교
交,사귀다,교
敎,가르치다,교
校,학교,교
鉤,갈고리,구
嘔,게우다,구
枸,구기자나무,구
柩,널,구
衢,네거리,구
謳,노래,구
溝,도랑,구
寇,도적,구
垢,때,구
毆,때리다,구
灸,뜸,구
廏,마구간,구
駒,망아지,구
矩,모나다,구
矩,법,구
軀,몸,구
鳩,비둘기,구
舅,시아버지,구
舅,외삼촌,구
仇,원수,구
臼,절구,구
嶇,험하다,구
鷗,갈매기,구
歐,구라파,구
歐,치다,구
購,사다,구
邱,언덕,구
玖,옥돌,구
狗,개,구
龜,거북,구
龜,거북,귀
龜,터지다,균
懼,두려워하다,구
驅,몰다,구
苟,진실로,구
苟,구차하다,구
俱,함께,구
丘,언덕,구
久,오래다,구
拘,잡다,구
構,얽다,구
求,구하다,구
句,글귀,구
究,연구하다,구
具,갖추다,구
救,구원하다,구
舊,옛,구
球,공,구
區,구분하다,구
區,경계,구
口,입,구
九,아홉,구
鞠,국문하다,국
鞠,성씨씨,국
菊,국화,국
局,판,국
國,나라,국
窘,군색하다,군
群,무리,군
君,임금,군
郡,고을,군
軍,군사,군
窟,굴,굴
掘,파다,굴
屈,굽히다,굴
躬,몸,궁
穹,하늘,궁
弓,활,궁
窮,다하다,궁
窮,궁하다,궁
宮,집,궁
捲,거두다,권
捲,말다,권
倦,게으르다,권
眷,돌보다,권
圈,우리,권
拳,주먹,권
勸,권하다,권
券,문서,권
卷,책,권
權,권세,권
蹶,일어사다,궐
蹶,넘어지다,궐
闕,대궐,궐
厥,그,궐
櫃,궤짝,궤
潰,무너지다,궤
詭,속이다,궤
几,안석,궤
机,책상,궤
軌,바퀴 자국,궤
鬼,귀신,귀
歸,돌아가다,귀
貴,귀하다,귀
硅,규소,규
逵,길거리,규
葵,아욱,규
葵,해바라기,규
窺,엿보다,규
奎,별,규
圭 ,서옥,규
圭 ,쌍토,규
閨,안방,규
揆,헤아리다,규
珪,홀,규
叫,부르짖다,규
糾,얽히다,규
規,법,규
菌,버섯,균
均,고르다,균
橘,귤,귤
棘,가시,극
剋,이기다,극
戟,창,극
隙,틈,극
克,이기다,극
劇,심하다,극
極,다하다,극
極,극진하다,극
覲,뵙다,근
饉,주리다,근
槿,무궁화,근
瑾,아름다운옥,근
僅,겨우,근
斤,도끼,근
謹,삼가다,근
勤,부지런하다,근
筋,힘줄,근
近 ,가깝다,근
根,뿌리,근
擒,사로잡다,금
襟,옷깃,금
衾,이불,금
琴,거문고,금
錦,비단,금
禽,새,금
禁,금하다,금
今,이제,금
金,쇠,금
金,성,김
扱,거두다,급
扱,꽂다,급
汲,물을 긷다,급
及,미치다,급
給,주다,급
急,급하다,급
級,등급,급
亘,뻗치다,긍
亘,베풀다,선
矜,자랑하다,긍
兢,떨다,긍
肯,즐기다,긍
杞,구기자나무,기
羈,굴레,기
羈,나그네,기
妓,기생,기
朞,돌,기
畸,뙈기밭,기
畸,불구,기
綺,비단,기
譏,비웃을,기
肌,살,기
伎,재간,기
嗜,즐기다,기
崎,험하다,기
岐,갈림길,기
麒,기린,기
耆,늙다,기
沂,물이름,기
淇,물이름,기
棋,바둑,기
冀,바라다,기
璣,별이름,기
琪,아름다운옥,기
琦,옥이름,기
騏,준마,기
驥,천리마,기
箕,키,기
忌,꺼리다,기
幾,몇,기
棄,버리다,기
欺,속이다,기
豈,어찌,기
旣,이미,기
飢,주리다,기
畿,경기,기
其,그,기
企,꾀하다,기
騎,말타다,기
祈,빌다,기
奇,기특하다,기
紀,벼리,기
寄,부치다,기
機,틀,기
器,그릇,기
起,일어나다,기
期,기약하다,기
己,몸,기
汽,물 끓는 김,기
技,재주,기
基,터,기
旗,기,기
記,기록하다,기
氣,기운,기
緊,긴하다,긴
拮,일하다,길
吉,길하다,길
喫,먹다,끽
懦,나약하다,나
拏,잡다,나
拿,잡다,나
儺,푸닥거리다,나
那,어찌,나
諾,허락하다,낙
煖,덥다,난
暖,따듯하다,난
難,어렵다,난
捏,꾸미다,날
捺,누르다,날
男,사내,남
南,남녘,남
衲,깁다,납
納,들이다,납
囊,주머니,낭
娘,아가씨,낭
奈,어찌,내
乃,이에,내
耐,견디다,내
內,안,내
女,계집,녀
撚,비비다,년
年,해,년
涅,열반,녈
念,생각,념
寧,편안,녕
駑,둔할 말,노
弩,쇠뇌,노
奴,종,노
怒,성내다,노
努,힘쓰다,노
膿,고름,농
濃,짙다,농
農,농사,농
惱,번뇌하다,뇌
腦,뇌,뇌
尿,오줌,뇨
撓,휘다,뇨
訥,말을 더듬거리다,눌
紐,맵다,뉴
能,능하다,능
尼,여승,니
泥,진흙,니
匿,숨기다,닉
溺,빠지다,닉
茶,차,다
茶,차,차
多,많다,다
緞,비단,단
蛋,새알,단
簞,소쿠리,단
鍛,쇠 불리다,단
湍,여울,단
但,다만,단
丹,붉다,단
旦,아침,단
段,층계,단
斷,끊다,단
端,끝,단
檀,박달나무,단
單,홀로,단
壇,단,단
團,둥글다,단
短,짧다,단
撻,때리다,달
疸,황달,달
達,통달하다,달
痰,가래,담
澹,맑다,담
憺,참담하다,담
譚,크다,담
譚,말씀,담
曇,흐리다,담
潭,못,담
膽,쓸개,담
淡,맑다,담
擔,메다,담
談,말씀,담
遝,뒤섞이다,답
畓,논,답
踏,밟다,답
答,대답,답
螳,사마귀,당
棠,아가위나무,당
撞,치다,당
塘,못,당
唐,당나라,당
唐,당황하다,당
糖,엿,당
糖,사탕,탕
黨,무리,당
當,마땅,당
堂,집,당
擡,들다,대
袋,자루,대
戴,받들다,대
垈,집터,대
臺,대,대
貸,빌리다,대
貸,뀌다,대
帶,띠,대
隊,무리,대
待,기다리다,대
代,대신하다,대
對,대하다,대
大,크다,대
悳,덕,덕
德,덕,덕
賭,내기,도
堵,담,도
鍍,도금하다,도
濤,물결,도
滔,물이 넘치다,도
蹈,밟다,도
睹,보다,도
禱,빌다,도
淘,쌀을 일다,도
屠,죽이다,도
搗,찧다,도
萄,포도,도
掉,흔들다,도
燾,비치다,도
悼,슬퍼하다,도
挑,돋우다,도
跳,뛰다,도
稻,벼,도
塗,칠하다,도
渡,건너다,도
途,길,도
倒,넘어지다,도
桃,복숭아,도
陶,질그릇,도
刀,칼,도
盜,도둑,도
逃,도망가다,도
徒,무리,도
導,인도하다,도
都,도읍,도
島,섬,도
到,이르다,도
圖,그림,도
度,법,도
度,헤아리다,탁
道,길,도
禿,대머리,독
瀆,도랑,독
瀆,더럽히다,독
篤,도탑다,독
督,감독하다,독
毒,독,독
獨,홀로,독
讀,읽다,독
讀,구절,두
沌,엉기다,돈
惇,도탑다,독
燉,불빛,독
頓,조아리다,돈
敦,도탑다,독
豚,돼지,독
乭,이름,돌
突,갑자기,돌
瞳,눈동자,동
憧,동경하다,동
疼,아프다,동
胴,큰창자,동
胴,몸통,동
棟,마룻대,동
董,바로잡다,동
桐,오동나무,동
凍,얼다,동
銅,구리,동
童,아이,동
冬,겨울,동
洞,골,동
洞,밝다,통
動,움직이다,동
同,한가지,동
東,동녘,동
痘,역질,두
兜,투구,두
兜,도솔천,도
杜,막다,두
斗,말,두
豆,콩,두
頭,머리,두
臀,볼기,둔
遁,숨다,둔
鈍,둔하다,둔
屯,진을 치다,둔
得,얻다,득
橙,귤,등
橙,걸상,등
鄧,나라이름,등
藤,등나무,등
謄,베끼다,등
騰,오르다,등
燈,등불,등
等,무리,등
登,오르다,등
懶,게으르다,라
懶,게으르다,나
癩,문둥이,라
癩,문둥이,나
螺,소라,라
螺,소라,나
邏,순라,라
邏,순라,나
裸,벗다,라
裸,벗다,나
羅,벌리다,라
羅,벌리다,나
駱,낙타,락
駱,낙타,낙
酪,타락,락
酪,타락,낙
烙,지지다,락
烙,지지다,낙
洛,물이름,락
洛,물이름,낙
絡,잇다,락
絡,잇다,낙
絡,얽다,락
絡,얽다,낙
落,떨어지다,락
落,떨어지다,낙
樂,즐기다,락
樂,즐기다,낙
樂,노래,악
樂,좋아하다,요
鸞,난새,란
鸞,난새,난
瀾,물결,란
瀾,물결,난
爛,빛나다,란
爛,빛나다,난
欄,난간,란
欄,난간,난
蘭,난초,란
蘭,난초,난
卵,알,란
卵,알,난
亂,어지럽다,란
亂,어지럽다,난
辣,맵다,랄
辣,맵다,날
剌,발랄하다,랄
剌,발랄하다,날
籃,대바구니,람
籃,대바구니,남
藍,쪽,람
藍,쪽,남
濫,넘치다,람
濫,넘치다,남
覽,보다,람
覽,보다,남
蠟,밀랍,랍
蠟,밀랍,납
臘,섣달,랍
臘,섣달,납
拉,끌다,랍
拉,끌다,납
狼,이리,랑
狼,이리,낭
浪,물결,랑
浪,물결,낭
郞,사내,랑
郞,사내,낭
廊,사랑채,랑
